lightgbm_weight,deepfm_weight,auc,logloss,brier,average_precision,mean_predicted_ctr,calibration_gap,search_phase
0.41,0.5900000000000001,0.7466960361765524,0.3806052482048592,0.11765405815814922,0.35502968293598014,0.15623024701396035,0.000737752986039647,coarse
0.42,0.5800000000000001,0.746723986260714,0.380586524835331,0.11764956227581357,0.35507734387967466,0.15625777444934877,0.0007102255506512278,coarse
0.43,0.5700000000000001,0.7467496214789636,0.38056891432536183,0.11764535855281347,0.3551328018273049,0.1562853018847372,0.0006826981152628087,coarse
0.44,0.56,0.7467733146897261,0.3805524119814885,0.11764144698914886,0.3551818102901571,0.15631282932012558,0.0006551706798744172,coarse
0.45,0.55,0.7467939440229103,0.38053701334095985,0.11763782758481978,0.3552231056142286,0.15634035675551403,0.0006276432444859703,coarse
0.46,0.54,0.7468125992468116,0.3805227141644143,0.11763450033982618,0.3552623580750678,0.15636788419090247,0.0006001158090975234,coarse
0.47,0.53,0.7468288721970762,0.38050951042911785,0.1176314652541681,0.3552971302679405,0.15639541162629084,0.0005725883737091597,coarse
0.48,0.52,0.7468442201652391,0.38049739832271934,0.11762872232784553,0.3553212546522559,0.15642293906167926,0.0005450609383207405,coarse
0.49,0.51,0.7468568418990017,0.3804863742374866,0.11762627156085848,0.35535242220847546,0.15645046649706768,0.0005175335029323214,coarse
0.5,0.5,0.7468668753423789,0.38047643476498805,0.1176241129532069,0.3553759809679222,0.15647799393245612,0.0004900060675438744,coarse
0.51,0.49,0.7468737263703331,0.38046757669119013,0.11762224650489086,0.35539617566041143,0.15650552136784454,0.00046247863215545526,coarse
0.52,0.48,0.7468793082891704,0.38045979699194404,0.11762067221591033,0.35541352218799416,0.15653304880323296,0.0004349511967670361,coarse
0.53,0.47,0.7468824174780401,0.3804530928288373,0.11761939008626529,0.3554256512705855,0.15656057623862138,0.0004074237613786169,coarse
0.54,0.45999999999999996,0.7468824652528873,0.3804474615453889,0.11761840011595577,0.35543325763209616,0.1565881036740098,0.00037989632599019774,coarse
0.55,0.44999999999999996,0.7468802768746994,0.3804429006635691,0.11761770230498177,0.35543972728439,0.15661563110939822,0.00035236889060177856,coarse
0.56,0.43999999999999995,0.7468785371508425,0.3804394078806267,0.11761729665334325,0.3554507194776037,0.15664315854478664,0.0003248414552133594,coarse
0.57,0.43000000000000005,0.7468728439185762,0.38043698106620916,0.11761718316104025,0.35545607848715827,0.15667068598017503,0.00029731401982496797,coarse
0.58,0.42000000000000004,0.746865480546571,0.3804356182597623,0.11761736182807275,0.3554550068760621,0.15669821341556345,0.0002697865844365488,coarse
0.59,0.41000000000000003,0.7468564531861591,0.38043531766819816,0.11761783265444077,0.35545508090663375,0.15672574085095187,0.00024225914904812962,coarse
0.6,0.4,0.7468443036994308,0.3804360776638205,0.1176185956401443,0.35545170623020556,0.1567532682863403,0.0002147317136596827,coarse
0.61,0.39,0.7468299286393554,0.38043789678250056,0.11761965078518333,0.3554403403486892,0.15678079572172873,0.0001872042782712635,coarse
0.62,0.38,0.7468131652449935,0.38044077372209506,0.11762099808955788,0.35543186374057545,0.15680832315711715,0.00015967684288284434,coarse
0.63,0.37,0.7467936472475543,0.38044470734110053,0.11762263755326792,0.35541952728579784,0.15683585059250557,0.00013214940749442516,coarse
