method,bin_number,bin_rows,probability_min,probability_max,mean_predicted_probability,actual_click_rate,absolute_gap,weighted_gap,cumulative_rows
sigmoid,6,10000,0.06465147181840147,0.07804685331862801,0.07128089216074295,0.0756,0.004319107839257055,0.00021595539196285276,60000
sigmoid,7,10000,0.07804786303207818,0.08996136573668885,0.08325857673484549,0.0811,0.0021585767348454854,0.00010792883674227428,70000
sigmoid,8,10000,0.08996136573668885,0.10385592045732973,0.09658260354400122,0.1105,0.013917396455998779,0.0006958698227999389,80000
sigmoid,9,10000,0.10386320573054088,0.11992030971679782,0.11147962348893911,0.1167,0.005220376511060887,0.00026101882555304434,90000
sigmoid,10,10000,0.11992127567878866,0.1398484212979978,0.1298897132614672,0.1296,0.000289713261467206,1.44856630733603e-05,100000
sigmoid,11,10000,0.1398511079551233,0.15737382078132317,0.149034330905102,0.1504,0.0013656690948979922,6.828345474489961e-05,110000
sigmoid,12,10000,0.15738312407507868,0.17284434325132988,0.16461364255974864,0.1526,0.012013642559748627,0.0006006821279874314,120000
sigmoid,13,10000,0.17284921095800274,0.19494328421130896,0.1835275366238055,0.1841,0.0005724633761945153,2.8623168809725764e-05,130000
sigmoid,14,10000,0.1949493795878434,0.2156756863539786,0.2060256263111115,0.1936,0.012425626311111493,0.0006212813155555746,140000
sigmoid,15,10000,0.2156756863539786,0.23604121724616056,0.22481349564319567,0.2178,0.007013495643195672,0.0003506747821597836,150000
sigmoid,16,10000,0.23604331037726836,0.254976015715173,0.24524486971400752,0.2423,0.0029448697140075364,0.0001472434857003768,160000
sigmoid,17,10000,0.254976015715173,0.2749855213384792,0.26431551127820047,0.2604,0.003915511278200445,0.00019577556391002225,170000
sigmoid,18,10000,0.2749855213384792,0.296232727405112,0.28561108835969545,0.2957,0.010088911640304565,0.0005044455820152283,180000
sigmoid,19,10000,0.29623820065726647,0.32641502684180956,0.3080062504173521,0.3128,0.004793749582647944,0.00023968747913239718,190000
sigmoid,20,10000,0.3264353709312325,0.9218850094726111,0.456001932227491,0.4546,0.0014019322274910206,7.009661137455103e-05,200000
isotonic,1,10000,1e-07,0.019039595619208087,0.012856502570941316,0.0122,0.0006565025709413148,3.282512854706574e-05,10000
isotonic,2,10000,0.019039595619208087,0.030492030492030493,0.022705896725239313,0.0259,0.0031941032747606866,0.00015970516373803434,20000
isotonic,3,10000,0.030492030492030493,0.0354387926215763,0.03260438245528554,0.0312,0.001404382455285541,7.021912276427706e-05,30000
isotonic,4,10000,0.0354387926215763,0.0506265664160401,0.04453057964622436,0.042,0.002530579646224357,0.00012652898231121785,40000
isotonic,5,10000,0.0506265664160401,0.06266471449487554,0.05417352232208539,0.0493,0.004873522322085391,0.00024367611610426955,50000
isotonic,6,10000,0.06266471449487554,0.073890608875129,0.0694927803415329,0.0786,0.0091072196584671,0.00045536098292335504,60000
isotonic,7,10000,0.073890608875129,0.09855305466237942,0.08430524034281478,0.0799,0.004405240342814781,0.00022026201714073906,70000
isotonic,8,10000,0.09855305466237942,0.09930925836160931,0.09924656907494314,0.1106,0.011353430925056862,0.0005676715462528432,80000
isotonic,9,10000,0.09930925836160931,0.11632825719120135,0.11266156519107305,0.1167,0.004038434808926947,0.00020192174044634734,90000
isotonic,10,10000,0.11632825719120135,0.12927899686520378,0.12281422555476357,0.1281,0.005285774445236424,0.0002642887222618212,100000
isotonic,11,10000,0.12927899686520378,0.14585908529048205,0.14120456201011944,0.1462,0.004995437989880558,0.0002497718994940279,110000
isotonic,12,10000,0.14585908529048205,0.17262602579132474,0.15508758051291932,0.1565,0.0014124194870806794,7.062097435403398e-05,120000
isotonic,13,10000,0.17262602579132474,0.1873767258382643,0.18344872393530884,0.1847,0.0012512760646911647,6.256380323455824e-05,130000
isotonic,14,10000,0.1873767258382643,0.20059788440901427,0.19600923222918895,0.195,0.0010092322291889444,5.046161145944722e-05,140000
isotonic,15,10000,0.20059788440901427,0.21967677440853048,0.21505017266914,0.2124,0.0026501726691399996,0.00013250863345699997,150000
isotonic,16,10000,0.21967677440853048,0.2530369012147604,0.24316894374235606,0.2455,0.002331056257643932,0.0001165528128821966,160000
isotonic,17,10000,0.2530369012147604,0.2924078091106291,0.27118856014573695,0.2604,0.010788560145736925,0.0005394280072868463,170000
isotonic,18,10000,0.2924078091106291,0.3088050314465409,0.29624908612036727,0.2973,0.0010509138796327422,5.254569398163711e-05,180000
isotonic,19,10000,0.3088050314465409,0.32673267326732675,0.3172929747138092,0.3126,0.004692974713809195,0.00023464873569045973,190000
isotonic,20,10000,0.32673267326732675,0.9999999,0.4640501749577095,0.4543,0.009750174957709523,0.00048750874788547615,200000
