threshold,tp,fp,tn,fn,predicted_positive_rows,predicted_negative_rows,coverage,precision,recall,specificity,false_positive_rate,false_negative_rate,accuracy,balanced_accuracy,f1,negative_predictive_value,selected_group_ctr,unselected_group_ctr,overall_ctr,lift,click_capture_rate,missed_click_rate,youden_j
0.41,3059,2880,165726,28335,5939,194061,0.029695,0.5150698770836841,0.09743900108300949,0.9829187573395964,0.017081242660403544,0.9025609989169905,0.843925,0.5401788792113029,0.16387646318270696,0.8539892095784315,0.5150698770836841,0.14601079042156848,0.15697,3.28132685916853,0.09743900108300949,0.9025609989169905,0.08035775842260584
0.42,2635,2308,166298,28759,4943,195057,0.024715,0.5330770786971475,0.08393323565012423,0.9863112819235377,0.013688718076462285,0.9160667643498758,0.844665,0.535122258786831,0.1450312353799158,0.8525610462582732,0.5330770786971475,0.14743895374172677,0.15697,3.396044331382732,0.08393323565012423,0.9160667643498758,0.0702445175736619
0.43,2635,2308,166298,28759,4943,195057,0.024715,0.5330770786971475,0.08393323565012423,0.9863112819235377,0.013688718076462285,0.9160667643498758,0.844665,0.535122258786831,0.1450312353799158,0.8525610462582732,0.5330770786971475,0.14743895374172677,0.15697,3.396044331382732,0.08393323565012423,0.9160667643498758,0.0702445175736619
0.44,2464,2109,166497,28930,4573,195427,0.022865,0.5388147824185436,0.07848633496846531,0.9874915483434753,0.012508451656524679,0.9215136650315346,0.844805,0.5329889416559703,0.13701448550059775,0.8519651839305725,0.5388147824185436,0.14803481606942745,0.15697,3.4325971995830007,0.07848633496846531,0.9215136650315346,0.06597788331194065
0.45,2464,2109,166497,28930,4573,195427,0.022865,0.5388147824185436,0.07848633496846531,0.9874915483434753,0.012508451656524679,0.9215136650315346,0.844805,0.5329889416559703,0.13701448550059775,0.8519651839305725,0.5388147824185436,0.14803481606942745,0.15697,3.4325971995830007,0.07848633496846531,0.9215136650315346,0.06597788331194065
0.46,2310,1863,166743,29084,4173,195827,0.020865,0.5535585909417685,0.07358093903293624,0.9889505711540515,0.011049428845948542,0.9264190609670637,0.845265,0.5312657550934938,0.12989568982483765,0.8514811542841385,0.5535585909417685,0.14851884571586144,0.15697,3.5265247559518924,0.07358093903293624,0.9264190609670637,0.06253151018698766
0.47,2310,1863,166743,29084,4173,195827,0.020865,0.5535585909417685,0.07358093903293624,0.9889505711540515,0.011049428845948542,0.9264190609670637,0.845265,0.5312657550934938,0.12989568982483765,0.8514811542841385,0.5535585909417685,0.14851884571586144,0.15697,3.5265247559518924,0.07358093903293624,0.9264190609670637,0.06253151018698766
0.48,2310,1863,166743,29084,4173,195827,0.020865,0.5535585909417685,0.07358093903293624,0.9889505711540515,0.011049428845948542,0.9264190609670637,0.845265,0.5312657550934938,0.12989568982483765,0.8514811542841385,0.5535585909417685,0.14851884571586144,0.15697,3.5265247559518924,0.07358093903293624,0.9264190609670637,0.06253151018698766
0.49,2310,1863,166743,29084,4173,195827,0.020865,0.5535585909417685,0.07358093903293624,0.9889505711540515,0.011049428845948542,0.9264190609670637,0.845265,0.5312657550934938,0.12989568982483765,0.8514811542841385,0.5535585909417685,0.14851884571586144,0.15697,3.5265247559518924,0.07358093903293624,0.9264190609670637,0.06253151018698766
0.49593495934959336,2310,1863,166743,29084,4173,195827,0.020865,0.5535585909417685,0.07358093903293624,0.9889505711540515,0.011049428845948542,0.9264190609670637,0.845265,0.5312657550934938,0.12989568982483765,0.8514811542841385,0.5535585909417685,0.14851884571586144,0.15697,3.5265247559518924,0.07358093903293624,0.9264190609670637,0.06253151018698766
0.5,1817,1404,167202,29577,3221,196779,0.016105,0.5641105246817758,0.057877301395171055,0.9916728942030533,0.008327105796946729,0.942122698604829,0.845095,0.5247750977991121,0.10498338870431893,0.8496943271385666,0.5641105246817758,0.1503056728614334,0.15697,3.5937473700820273,0.057877301395171055,0.942122698604829,0.04955019559822427
0.55,1308,862,167744,30086,2170,197830,0.01085,0.6027649769585254,0.04166401223163662,0.9948874891759487,0.005112510824051338,0.9583359877683634,0.84526,0.5182757507037926,0.07794065069717555,0.847919931254107,0.6027649769585254,0.15208006874589294,0.15697,3.840001127339781,0.04166401223163662,0.9583359877683634,0.03655150140758523
0.5577651515151517,1308,862,167744,30086,2170,197830,0.01085,0.6027649769585254,0.04166401223163662,0.9948874891759487,0.005112510824051338,0.9583359877683634,0.84526,0.5182757507037926,0.07794065069717555,0.847919931254107,0.6027649769585254,0.15208006874589294,0.15697,3.840001127339781,0.04166401223163662,0.9583359877683634,0.03655150140758523
0.6,788,421,168185,30606,1209,198791,0.006045,0.6517783291976841,0.02510033764413582,0.997503054458323,0.002496945541677046,0.9748996623558642,0.844865,0.5113016960512294,0.04833910989786216,0.8460393076145298,0.6517783291976841,0.15396069238547017,0.15697,4.152247749236696,0.02510033764413582,0.9748996623558642,0.022603392102458875
0.65,788,421,168185,30606,1209,198791,0.006045,0.6517783291976841,0.02510033764413582,0.997503054458323,0.002496945541677046,0.9748996623558642,0.844865,0.5113016960512294,0.04833910989786216,0.8460393076145298,0.6517783291976841,0.15396069238547017,0.15697,4.152247749236696,0.02510033764413582,0.9748996623558642,0.022603392102458875
0.7,32,5,168601,31362,37,199963,0.000185,0.8648648648648649,0.0010193030515385105,0.9999703450648257,2.965493517431171e-05,0.9989806969484615,0.843165,0.5004948240581821,0.0020362062931500746,0.8431609847821847,0.8648648648648649,0.1568390152178153,0.15697,5.50974622453249,0.0010193030515385105,0.9989806969484615,0.0009896481163642612
0.75,32,5,168601,31362,37,199963,0.000185,0.8648648648648649,0.0010193030515385105,0.9999703450648257,2.965493517431171e-05,0.9989806969484615,0.843165,0.5004948240581821,0.0020362062931500746,0.8431609847821847,0.8648648648648649,0.1568390152178153,0.15697,5.50974622453249,0.0010193030515385105,0.9989806969484615,0.0009896481163642612
0.8,30,2,168604,31364,32,199968,0.00016,0.9375,0.0009555966108173536,0.9999881380259302,1.1861974069724684e-05,0.9990444033891827,0.84317,0.5004718673183738,0.001909247120218927,0.8431549047847655,0.9375,0.15684509521523443,0.15697,5.972478817608461,0.0009555966108173536,0.9990444033891827,0.000943734636747573
0.85,27,1,168605,31367,28,199972,0.00014,0.9642857142857143,0.0008600369497356183,0.9999940690129652,5.930987034862342e-06,0.9991399630502644,0.84316,0.5004270529813504,0.0017185411495130802,0.8431430400256036,0.9642857142857143,0.15685695997439641,0.15697,6.143121069540131,0.0008600369497356183,0.9991399630502644,0.0008541059627007463
0.9,27,1,168605,31367,28,199972,0.00014,0.9642857142857143,0.0008600369497356183,0.9999940690129652,5.930987034862342e-06,0.9991399630502644,0.84316,0.5004270529813504,0.0017185411495130802,0.8431430400256036,0.9642857142857143,0.15685695997439641,0.15697,6.143121069540131,0.0008600369497356183,0.9991399630502644,0.0008541059627007463
0.95,22,0,168606,31372,22,199978,0.00011,1.0,0.000700770847932726,1.0,0.0,0.9992992291520673,0.84314,0.5003503854239664,0.0014005602240896356,0.8431227435017852,1.0,0.1568772564982148,0.15697,6.370644072115691,0.000700770847932726,0.9992992291520673,0.0007007708479327412
0.9999999,22,0,168606,31372,22,199978,0.00011,1.0,0.000700770847932726,1.0,0.0,0.9992992291520673,0.84314,0.5003503854239664,0.0014005602240896356,0.8431227435017852,1.0,0.1568772564982148,0.15697,6.370644072115691,0.000700770847932726,0.9992992291520673,0.0007007708479327412
